case	source_key	title	locator	local_filename	expected_sha256	corpus_present	included_in_submission	redistribution_status	licence_or_basis	evidence_for_status	acquisition_command_or_instructions	verification_mode	notes
covid_origins	andersen_2020	The proximal origin of SARS-CoV-2	10.1038/s41591-020-0820-9	literature/andersen_2020.html		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1038 = Springer Nature	https://doi.org/10.1038/s41591-020-0820-9	attested	source bytes not on disk (git-ignored)
covid_origins	pekar_2022	The molecular epidemiology of multiple zoonotic origins of SARS-CoV-2	10.1126/science.abp8337	literature/pekar_2022.html		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1126 = AAAS (Science)	https://doi.org/10.1126/science.abp8337	attested	source bytes not on disk (git-ignored)
covid_origins	segreto_2021	The genetic structure of SARS-CoV-2 does not rule out a laboratory origin	10.1002/bies.202000240	literature/segreto_2021.html		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1002 = Wiley	https://doi.org/10.1002/bies.202000240	attested	source bytes not on disk (git-ignored)
covid_origins	temmam_2022	Bat coronaviruses related to SARS-CoV-2 and infectious for human cells	10.1038/s41586-022-04532-4	literature/temmam_2022.html		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1038 = Springer Nature	https://doi.org/10.1038/s41586-022-04532-4	attested	source bytes not on disk (git-ignored)
covid_origins	worobey_2022	The Huanan Seafood Wholesale Market in Wuhan was the early epicenter of the COVID-19 pandemic	10.1126/science.abp8715	literature/worobey_2022.html		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1126 = AAAS (Science)	https://doi.org/10.1126/science.abp8715	attested	source bytes not on disk (git-ignored)
eggs_cholesterol	chen_2021	Egg and dietary cholesterol intake and risk of all-cause, cardiovascular, and cancer mortality in the Women's Health Initiative	10.1093/ajcn/nqaa353	literature/chen_2021.html		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1093 = Oxford University Press	https://doi.org/10.1093/ajcn/nqaa353	attested	source bytes not on disk (git-ignored)
eggs_cholesterol	darooghegi_2022	Egg and Dietary Cholesterol Intake and Risk of All-Cause, Cardiovascular, and Cancer Mortality: A Systematic Review and Dose-Response Meta-Analysis of Prospective Cohort Studies	10.3389/fnut.2022.878979	literature/darooghegi_2022.html		no	no	permissive-licence	Frontiers journals publish every article under CC-BY 4.0	DOI registrant 10.3389 = Frontiers	https://doi.org/10.3389/fnut.2022.878979	attested	source bytes not on disk (git-ignored)
eggs_cholesterol	dehghan_2020	Association of egg intake with blood lipids, cardiovascular disease, and mortality in 177,000 people in 50 countries	10.1093/ajcn/nqz348	literature/dehghan_2020.html		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1093 = Oxford University Press	https://doi.org/10.1093/ajcn/nqz348	attested	source bytes not on disk (git-ignored)
eggs_cholesterol	djousse_2008	Egg consumption and risk of heart failure in the Physicians' Health Study	10.1093/ajcn/87.4.964	literature/djousse_2008.html		no	no	restricted	closed-access publisher default; per-article open licence not established	DOI registrant 10.1093 = Oxford University Press	https://doi.org/10.1093/ajcn/87.4.964	attested	source bytes not on disk (git-ignored)
eggs_cholesterol	drouin_2020	Egg consumption and risk of cardiovascular disease: three large prospective US cohort studies, systematic review, and updated meta-analysis	10.1136/bmj.m513	literature/drouin_2020.html		no	no	restricted	closed-access default; the BMJ Open subset is CC-BY but this item's licence is not established	DOI registrant 10.1136 = BMJ	https://doi.org/10.1136/bmj.m513	attested	source bytes not on disk (git-ignored)
